source,job_title,company_name,job_location,job_type,category,salary_min,salary_max,salary_avg,salary_range,salary_currency,experience_required,education_required,skills_required,job_description
CamHR,Financial Analyst,Phillip Bank,Takeo,Full-time,Banking & Finance,580.0,4608.0,2594.0,4028.0,USD,2,bachelor,bloomberg; sql; financial modeling; risk management; excel; english; loan processing; credit analysis,"We are looking for a talented Financial Analyst to join our team at Phillip Bank. The candidate will be responsible for contributing to our banking & finance operations in Takeo. Required skills include: bloomberg, sql, financial modeling. Minimum 2 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Ap/Ar Specialist,Pwc Cambodia,Phnom Penh,Full-time,Accounting & Audit,299.0,4483.0,2391.0,4184.0,USD,0,bachelor,accounting standards; khmer,"We are looking for a talented AP/AR Specialist to join our team at PWC Cambodia. The candidate will be responsible for contributing to our accounting & audit operations in Phnom Penh. Required skills include: accounting standards, khmer. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
BongThom,Retail Assistant,Havi Cambodia,Remote,Full-time,Retail & Sales,,,,,,4,high school,customer service; ms office; pos system; english; communication,"We are looking for a talented Retail Assistant to join our team at Havi Cambodia. The candidate will be responsible for contributing to our retail & sales operations in Remote. Required skills include: customer service, ms office, pos system. Minimum 4 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
KhmerOnline,Training Facilitator,Pannasastra University,Sihanoukville,Internship,Education & Training,317.0,3481.0,1899.0,3164.0,USD,0,master,curriculum design; classroom management; communication; patience; khmer; lesson planning; english,"We are looking for a talented Training Facilitator to join our team at Pannasastra University. The candidate will be responsible for contributing to our education & training operations in Sihanoukville. This is an internship opportunity suitable for fresh graduates. Required skills include: curriculum design, classroom management, communication. No experience required — training provided. Education: Master degree or equivalent preferred."
Khmer24,Warehouse Keeper,Pactics Cambodia,Phnom Penh,Full-time,Manufacturing,167.0,869.0,518.0,702.0,USD,4,none,teamwork; machine operation; lean manufacturing; physical fitness; safety; quality control; inventory,"We are looking for a talented Warehouse Keeper to join our team at Pactics Cambodia. The candidate will be responsible for contributing to our manufacturing operations in Phnom Penh. Required skills include: teamwork, machine operation, lean manufacturing. Minimum 4 year(s) of relevant experience required. Education: None degree or equivalent preferred."
CamHR,Cashier,Havi Cambodia,Kampot,Contract,Retail & Sales,272.0,2722.0,1497.0,2450.0,USD,1,bachelor,sales; negotiation; ms office; communication; customer service; english; product knowledge; target driven,"We are looking for a talented Cashier to join our team at Havi Cambodia. The candidate will be responsible for contributing to our retail & sales operations in Kampot. Required skills include: sales, negotiation, ms office. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Restaurant Manager,Amansara,Battambang,Internship,Hospitality & Tourism,303.41,3275.85,1789.63,2972.44,USD,0,bachelor,communication; hotel management; event management; opera pms; customer service; f&b service; chinese,"We are looking for a talented Restaurant Manager to join our team at Amansara. The candidate will be responsible for contributing to our hospitality & tourism operations in Battambang. This is an internship opportunity suitable for fresh graduates. Required skills include: communication, hotel management, event management. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Khmer Teacher,Ace Cambodia,Kandal,Full-time,Education & Training,247.0,2430.0,1338.5,2183.0,USD,1,master,patience; ms office; communication; reporting; e-learning; classroom management,"We are looking for a talented Khmer Teacher to join our team at ACE Cambodia. The candidate will be responsible for contributing to our education & training operations in Kandal. Required skills include: patience, ms office, communication. Minimum 1 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
BongThom,Content Creator,Khmertimes,Kampong Cham,Contract,Media & Marketing,349.0,4488.0,2418.5,4139.0,USD,5,bachelor,illustrator; content writing; video editing; facebook ads; english; canva; seo,"We are looking for a talented Content Creator to join our team at KhmerTimes. The candidate will be responsible for contributing to our media & marketing operations in Kampong Cham. Required skills include: illustrator, content writing, video editing. Minimum 5 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Inventory Controller,Dhl Cambodia,Phnom Penh,Full-time,Logistics & Transport,237.8,2002.68,1120.24,1764.88,USD,4,bachelor,supply chain; khmer; inventory; customs clearance; english; warehouse management; logistics,"We are looking for a talented Inventory Controller to join our team at DHL Cambodia. The candidate will be responsible for contributing to our logistics & transport operations in Phnom Penh. Required skills include: supply chain, khmer, inventory. Minimum 4 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Sales Supervisor,Chip Mong Retail,Battambang,Full-time,Retail & Sales,161.0,2542.0,1351.5,2381.0,USD,1,bachelor,product knowledge; communication; sales; english; khmer; negotiation; target driven; pos system,"We are looking for a talented Sales Supervisor to join our team at Chip Mong Retail. The candidate will be responsible for contributing to our retail & sales operations in Battambang. Required skills include: product knowledge, communication, sales. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Supply Chain Analyst,Toll Group,Phnom Penh,Full-time,Logistics & Transport,,,,,,3,high school,khmer; english; inventory; supply chain; excel,"We are looking for a talented Supply Chain Analyst to join our team at Toll Group. The candidate will be responsible for contributing to our logistics & transport operations in Phnom Penh. Required skills include: khmer, english, inventory. Minimum 3 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
Khmer24,Export Coordinator,Anacle Garment,Phnom Penh,Full-time,Garment & Textile,143.0,466.0,304.5,323.0,USD,1,none,khmer; pattern making; quality inspection; machine operation,"We are looking for a talented Export Coordinator to join our team at Anacle Garment. The candidate will be responsible for contributing to our garment & textile operations in Phnom Penh. Required skills include: khmer, pattern making, quality inspection. Minimum 1 year(s) of relevant experience required. Education: None degree or equivalent preferred."
BongThom,Construction Laborer,Urbanland,Battambang,Full-time,Construction & Engineering,446.0,6673.0,3559.5,6227.0,USD,7,bachelor,civil 3d; autocad; surveying; structural analysis,"We are looking for a talented Construction Laborer to join our team at Urbanland. The candidate will be responsible for contributing to our construction & engineering operations in Battambang. Required skills include: civil 3d, autocad, surveying. Minimum 7 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Network Engineer,Nssf Cambodia,Kandal,Part-time,Technology & It,,,,,,4,master,docker; java; api development; mysql; php; mongodb,"We are looking for a talented Network Engineer to join our team at NSSF Cambodia. The candidate will be responsible for contributing to our technology & it operations in Kandal. Required skills include: docker, java, api development. Minimum 4 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
